id,report_id,created,last_updated,library,subject_data,column_variable,filter,stat_label,report_type,template,task
199,TDM001,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Demographics,Demog,0,1
198,TDM002,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Demographics,Demog,0,1
197,TDM003,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Demographics,Demog,0,1
196,TDM004,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Demographics,Demog,0,1
195,TDM005,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Demographics,Demog,0,1
194,TDS001,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Disposition,Disposition,0,1
193,TDS002,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Disposition,Disposition,0,1
192,TDS003,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Disposition,Disposition,0,1
191,TDS004,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Disposition,Disposition,0,1
190,TDS005,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01p,1,Disposition,Disposition,0,1
189,TAE001,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
188,TAE002,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Serious Adverse Events,AE,0,1
187,TAE003,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Severe Adverse Events,AE,0,1
186,TAE004,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,"Grade 1, 2, 3 Adverse Events",AE,0,1
185,TAE005,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
184,TAE006,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
183,TAE007,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
182,TAE008,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
181,TAE009,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
180,TAE010,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
179,TAE011,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
178,TAE012,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
177,TAE013,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
176,TAE014,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
175,TAE015,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
174,TAE016,2019-04-06 05:47:16,2019-04-06 05:47:16,adam,adsl,trt01a,1,Adverse Events,AE,0,1
