id,name,phase,indication,crossover,output_type,protocol,sap,created,last_updated,description,molecule,
701,NCT03529942,Phase 3,"Osteoarthritis, Knee",0,NA,NA,NA,2019-04-06 00:47:15,2019-04-06 00:47:15,NA,102,
700,NCT03104413,Phase 3,Crohn's Disease,0,,Protocol NCT03529942v1.0.doc,Statitical Analysis PlanNCT03529942v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study to Evaluate the Effect of FX006 on Synovial Inflammation in Patients With OA of the Knee,1,
699,NCT03105102,Phase 3,Crohn's Disease,0,,Protocol NCT03104413v1.0.doc,Statitical Analysis PlanNCT03104413v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study to Assess the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Crohn's Disease Who Failed Prior Biologic Treatment,100,
698,NCT03107871,Phase 3,Cmv Congenital|CMV|Congenital Cmv|SNHL|Sensorineural Hearing Loss,0,,Protocol NCT03105102v1.0.doc,Statitical Analysis PlanNCT03105102v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study of the Efficacy and Safety of Risankizumab in Subjects With Crohn's Disease Who Responded to Induction Treatment in M16-006 or M15-991, or Completed M15-989,99
697,NCT03108846,Phase 3,Dementia,0,,Protocol NCT03107871v1.0.doc,Statitical Analysis PlanNCT03107871v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Randomized Controlled Trial of Valganciclovir for Cytomegalovirus Infected Hearing Impaired Infants,98,
696,NCT03126916,Phase 3,Childhood Ganglioneuroblastoma|Childhood Neuroblastoma|INRG Stage L2|INRG Stage M|INRG Stage MS|NMYC Gene Amplification|Recurrent Neuroblastoma,1,,Protocol NCT03108846v1.0.doc,Statitical Analysis PlanNCT03108846v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Escitalopram for Agitation in Alzheimer's Disease,97,
695,NCT03137173,Phase 3,Acute Bacterial Skin and Skin Structure Infections,0,,Protocol NCT03126916v1.0.doc,Statitical Analysis PlanNCT03126916v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Iobenguane I-131 or Crizotinib and Standard Therapy in Treating Younger Patients With Newly-Diagnosed High-Risk Neuroblastoma or Ganglioneuroblastoma,96,
694,NCT03150914,Phase 3,LAM|Lymphangioleiomyomatosis,0,,Protocol NCT03137173v1.0.doc,Statitical Analysis PlanNCT03137173v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Ceftobiprole in the Treatment of Patients With Acute Bacterial Skin and Skin Structure Infections,95,
693,NCT03150589,Phase 3,Age-Related Macular Degeneration,1,,Protocol NCT03150914v1.0.doc,Statitical Analysis PlanNCT03150914v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Multicenter Interventional Lymphangioleiomyomatosis (LAM) Early Disease Trial,94,
692,NCT03182907,Phase 3,Clostridium Difficile Infection,0,,Protocol NCT03150589v1.0.doc,Statitical Analysis PlanNCT03150589v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study to Compare SB11 (Proposed Ranibizumab Biosimilar) to Lucentis in Subjects With Neovascular Age-related Macular Degeneration (AMD),93,
